Taxon,TOTL,QUADOFF,SYMPH,%DENTITION,FEN%,AMA,PMA,OMA,MAXI,AVRI,MAXJ,AVJ,CUSPMAX,CURVMAX
Pseudhesperosuchus jacheleri,14.62,0.049931601,9.370725,49.38440492,11.96291,0.159161,0.342809,0.114907,3,1.333635,0.551675,0.848119,?,?
Terrestrisuchus gracilis,7.71,0.037613489,?,52.01037613,6.382979,0.179558,0.391566,0.05663,?,?,?,?,?,?
Dromicosuchus grallator ,14.87,0.038332213,7.464694,52.11835911,2.259495,0.156794,0.327988,0.025784,?,?,?,?,?,?
Sphenosuchus acutus,19.53,0.028161802,18.53559,40.80901178,13.57762,0.177938,0.309249,0.079823,5.044776,?,0.363322,?,?,?
Dibothrosuchus elaphros,16.77,0.03875969,29.3381,45.97495528,2.961285,0.187162,0.377899,0.104054,1.530303,1.136776,0.828088,0.872296,2.595238095,85.36
Junggarsuchus sloani,28.89,0.037729318,13.91485,50.39806161,13.07453,0.184598,0.392456,0.08607,4.803922,2.304903,0.37881,0.661036,?,?
Pedeticosaurus leviseuri ,9.06,0.045253863,?,48.01324503,8.675437,0.199058,0.3903,0.062426,?,?,?,?,1.869565217,74.32
Protosuchus haughtoni,5.77,0.064124783,20.2773,35.87521664,1.294858,0.230038,0.364458,0.070342,1.901235,1.302965,0.738896,0.852676,3.266666667,83.75
Hemiprotosuchus leali ,7.95,0.026415094,17.10692,42.7672956,5.651846,0.239316,0.454054,0.138177,2.013514,1.563629,0.716365,0.807294,?,?
Orthosuchus stormbergi,11.16,0.106630824,10.66308,35.66308244,?,0.263209,0.419657,0.055773,1.457447,1.226172,0.827328,0.862829,1.68,68.91
Gobiosuchus kielana,6.91,0.059334298,15.19537,35.60057887,0,0.197432,0.309045,0.139647,1.80303,1.229913,0.758922,0.862378,1.777777778,89.63
Sichuanosuchus shuhanensis,6.29,0.049284579,15.4213,34.97615262,3.976802,0.235398,0.374648,0.090265,1.576923,1.273655,0.80469,0.856771,1.818181818,89.58
Shantungosuchus brachycephalus,6.16,0.048701299,?,28.08441558,9.317286,0.294425,0.408213,?,?,?,?,?,1.5,90
Zosuchus davidsoni ,5.54,0.075812274,21.66065,33.39350181,6.897679,0.328094,0.501502,0.125737,1.979167,1.013076,0.723202,0.883445,?,?
Hadongsuchus,4.81,0.079002079,?,38.46153846,3.632947,0.251121,0.424242,0.078475,?,?,?,?,?,?
Goniopholis sp. juvenile,14.41,0.056904927,12.76891,34.07356003,0,0.153146,0.274889,0.162252,2.868687,2.105791,0.569949,0.698293,?,?
Goniopholis simus ,56.9,0.081370826,10.05272,46.11599297,0,0.242943,0.51333,0.142002,3.266458,3.064821,0.517608,0.543027,?,?
Goniopholis sp. (Hooley),49.82,0.077077479,10.4175,46.36692092,0,0.214421,0.459116,0.142078,4.778325,2.041015,0.380531,0.710932,?,?
Oweniasuchus major,25.88,0.063369397,9.853168,40.41731066,0,0.21419,0.384615,0.161089,4.446429,2.381653,0.404304,0.647372,3.482758621,61.08
Sunosuchus thailandicus ,114.03,0.085503815,40.82259,43.89195826,9.204483,0.145084,0.2863,0.158907,2.15512,1.213227,0.68883,0.864354,1.31797235,75.44
Eutretauranosuchus delfsi,32.46,0.063770795,21.68823,45.40973506,2.345302,0.186624,0.387892,0.143114,2.88125,1.116982,0.568156,0.8741,?,?
Iharkutosuchus makadii,9.45,0.154497354,14.17989,50.68783069,0,0.289988,0.62069,0.116226,2.880435,1.641011,0.568272,0.791936,0.489795918,90
Borealosuchus sternbergi ,39.87,0.08427389,14.82318,50.96563832,6.158784,0.231127,0.527851,0.160859,1.613811,1.649001,0.797386,0.790327,?,?
Eothoracosaurus mississippiensis,99.88,0.060973168,41.42972,59.35122147,1.098258,0.160582,0.459637,0.088435,3.206587,1.999862,0.52493,0.719076,?,?
Brachychampsa montana ,29.28,0.132172131,14.37842,47.09699454,8.189331,0.161155,0.339207,0.233571,2.418502,?,0.640955,?,1.494117647,86.91
Musturzabalsuchus buffetauti ,23.7,0.087341772,25.6962,51.64556962,0,0.188945,0.455206,0.180402,?,?,?,?,1.811111111,83.66
Stangerochampsa mccabei,24.3,0.027572016,14.52675,47.36625514,3.266427,0.243674,0.500481,0.125586,2.060748,1.645648,0.707058,0.791003,?,?
