Turtle species,Specimen (source),Mandible_length,Mandible_width,Ch1_LWratio,Ch2_AMA,Ch3_PMA,Ch4_OMA,Ch5_SMOI,Ch6_TRIT,primary_diet,specialized_diet,Terrestrial_feeding,habitat,Clade
Aldabrachelys_gigantea,ZMB 47494,78.87,81.13,NA,0.350308642,0.87757732,0.173251029,1.818,0.074910394,herbivorous,high_fiber,yes,terrestrial,Testudinidae
Amyda_cartilaginea,FMNH 244117,73.45,57.7,NA,0.461229718,0.959325044,0.219641332,1.755,0.214389535,carnivorous,suction,no,freshwater,Trionychia
Apalone_mutica,FHSM herp 2746,46.15,35.35,NA,0.336296296,0.892383292,0.226296296,2.236,0.082821119,carnivorous,suction,no,freshwater,Trionychia
Apalone_spinifera,FMNH 22178,53.06,37.93,NA,0.407554833,0.974174757,0.205036556,1.319,0.244784423,carnivorous,suction,no,freshwater,Trionychia
Batagur_baska,NHMUK 67.9.28.7,63.91,63.85,NA,0.465180467,1.162334218,0.134394904,0.635,0.231961722,herbivorous,generalist,no,freshwater,Geoemydidae
Caretta_caretta,ZMB 25470,147.51,137.03,NA,0.3777,0.759959759,0.2002,1.142,0.331907613,carnivorous,durophagous,no,marine,Chelonioidea
Carettochelys_insculpta,NHMUK 1903.7.10.1,83.47,74.12,NA,0.436363636,0.91646778,0.206022727,1.297,0.125933014,omnivorous,generalist,no,freshwater,Trionychia
Chelodina_oblonga,NHMUK 64.12.22,33.28,27.51,NA,0.476576577,0.860162602,0.115675676,2.697,0.036264657,carnivorous,suction,no,freshwater,Chelidae
Chelonia_mydas,NHMUK 1969.776,125.45,111.01,NA,0.427413984,1.040810811,0.20654828,1.479,0.225782689,herbivorous,high_fiber,no,marine,Chelonioidea
Chelonoidis_niger,ZMB 19103,60,65.6,NA,0.36197479,0.88814433,0.166491597,2.053,0.027273585,herbivorous,high_fiber,yes,terrestrial,Testudinidae
Chelus_fimbriatus,UF 85199,27.84,22.07,NA,0.656919643,0.924502618,0.169270833,2.426,0.025550936,carnivorous,suction,no,freshwater,Chelidae
Chelydra_serpentina,UF 22159,59.87,66.94,NA,0.448014888,0.928277635,0.128039702,1.807,0.100224972,omnivorous,generalist,no,freshwater,Chelydroidea
Chitra_chitra,NHMUK 1926.12.16.1,73.12,48.28,NA,0.323867925,0.884793814,0.280188679,1.567,0.04375,carnivorous,suction,no,freshwater,Trionychia
Trachemys_ornata,NHMUK 76.1.31.19,32.57,33.84,NA,0.410091743,0.93125,0.115412844,1.777,0.176103247,omnivorous,generalist,no,freshwater,Emysternia
Trachemys_terrapen,ZMB 6572,35.31,38,NA,0.431472081,0.913978495,0.167258883,1.616,0.154219653,omnivorous,generalist,no,freshwater,Emysternia
Claudius_angustatus,SMNS 14380,31.04,30.89,NA,0.373837838,0.92459893,0.217945946,0.779,0.170520231,carnivorous,generalist,no,freshwater,Chelydroidea
